Pregunta,URL,Scraping
Question #: 1,https://www.examtopics.com/discussions/microsoft/view/62815-exam-az-900-topic-1-question-1-discussion/,True
Question #: 2,https://www.examtopics.com/discussions/microsoft/view/56934-exam-az-900-topic-1-question-2-discussion/,True
Question #: 3,https://www.examtopics.com/discussions/microsoft/view/56418-exam-az-900-topic-1-question-3-discussion/,True
Question #: 4,https://www.examtopics.com/discussions/microsoft/view/56881-exam-az-900-topic-1-question-4-discussion/,True
Question #: 5,https://www.examtopics.com/discussions/microsoft/view/56882-exam-az-900-topic-1-question-5-discussion/,True
Question #: 6,https://www.examtopics.com/discussions/microsoft/view/56559-exam-az-900-topic-1-question-6-discussion/,True
Question #: 7,https://www.examtopics.com/discussions/microsoft/view/56422-exam-az-900-topic-1-question-7-discussion/,True
Question #: 8,https://www.examtopics.com/discussions/microsoft/view/56761-exam-az-900-topic-1-question-8-discussion/,True
Question #: 9,https://www.examtopics.com/discussions/microsoft/view/62985-exam-az-900-topic-1-question-9-discussion/,True
Question #: 10,https://www.examtopics.com/discussions/microsoft/view/56453-exam-az-900-topic-1-question-10-discussion/,True
Question #: 11,https://www.examtopics.com/discussions/microsoft/view/56624-exam-az-900-topic-1-question-11-discussion/,True
Question #: 12,https://www.examtopics.com/discussions/microsoft/view/56625-exam-az-900-topic-1-question-12-discussion/,True
Question #: 13,https://www.examtopics.com/discussions/microsoft/view/56627-exam-az-900-topic-1-question-13-discussion/,True
Question #: 14,https://www.examtopics.com/discussions/microsoft/view/56918-exam-az-900-topic-1-question-14-discussion/,True
Question #: 15,https://www.examtopics.com/discussions/microsoft/view/56888-exam-az-900-topic-1-question-15-discussion/,True
Question #: 16,https://www.examtopics.com/discussions/microsoft/view/56892-exam-az-900-topic-1-question-16-discussion/,True
Question #: 17,https://www.examtopics.com/discussions/microsoft/view/56306-exam-az-900-topic-1-question-17-discussion/,True
Question #: 18,https://www.examtopics.com/discussions/microsoft/view/56893-exam-az-900-topic-1-question-18-discussion/,True
Question #: 19,https://www.examtopics.com/discussions/microsoft/view/56634-exam-az-900-topic-1-question-19-discussion/,True
Question #: 20,https://www.examtopics.com/discussions/microsoft/view/56636-exam-az-900-topic-1-question-20-discussion/,True
Question #: 21,https://www.examtopics.com/discussions/microsoft/view/56635-exam-az-900-topic-1-question-21-discussion/,True
Question #: 22,https://www.examtopics.com/discussions/microsoft/view/56637-exam-az-900-topic-1-question-22-discussion/,True
Question #: 23,https://www.examtopics.com/discussions/microsoft/view/56899-exam-az-900-topic-1-question-23-discussion/,True
Question #: 24,https://www.examtopics.com/discussions/microsoft/view/56826-exam-az-900-topic-1-question-24-discussion/,True
Question #: 25,https://www.examtopics.com/discussions/microsoft/view/56641-exam-az-900-topic-1-question-25-discussion/,True
Question #: 26,https://www.examtopics.com/discussions/microsoft/view/56643-exam-az-900-topic-1-question-26-discussion/,True
Question #: 27,https://www.examtopics.com/discussions/microsoft/view/62797-exam-az-900-topic-1-question-27-discussion/,True
Question #: 28,https://www.examtopics.com/discussions/microsoft/view/62807-exam-az-900-topic-1-question-28-discussion/,True
Question #: 29,https://www.examtopics.com/discussions/microsoft/view/56650-exam-az-900-topic-1-question-29-discussion/,True
Question #: 30,https://www.examtopics.com/discussions/microsoft/view/56651-exam-az-900-topic-1-question-30-discussion/,True
Question #: 31,https://www.examtopics.com/discussions/microsoft/view/56915-exam-az-900-topic-1-question-31-discussion/,True
Question #: 32,https://www.examtopics.com/discussions/microsoft/view/56358-exam-az-900-topic-1-question-32-discussion/,True
Question #: 33,https://www.examtopics.com/discussions/microsoft/view/56317-exam-az-900-topic-1-question-33-discussion/,True
Question #: 34,https://www.examtopics.com/discussions/microsoft/view/8931-exam-az-900-topic-1-question-34-discussion/,True
Question #: 35,https://www.examtopics.com/discussions/microsoft/view/9153-exam-az-900-topic-1-question-35-discussion/,True
Question #: 36,https://www.examtopics.com/discussions/microsoft/view/43997-exam-az-900-topic-1-question-36-discussion/,True
Question #: 37,https://www.examtopics.com/discussions/microsoft/view/5731-exam-az-900-topic-1-question-37-discussion/,True
Question #: 38,https://www.examtopics.com/discussions/microsoft/view/44356-exam-az-900-topic-1-question-38-discussion/,True
Question #: 39,https://www.examtopics.com/discussions/microsoft/view/5733-exam-az-900-topic-1-question-39-discussion/,True
Question #: 40,https://www.examtopics.com/discussions/microsoft/view/44357-exam-az-900-topic-1-question-40-discussion/,True
Question #: 41,https://www.examtopics.com/discussions/microsoft/view/44358-exam-az-900-topic-1-question-41-discussion/,True
Question #: 42,https://www.examtopics.com/discussions/microsoft/view/44823-exam-az-900-topic-1-question-42-discussion/,True
Question #: 43,https://www.examtopics.com/discussions/microsoft/view/44053-exam-az-900-topic-1-question-43-discussion/,True
